,회계연도,지역명,자치단체코드,자치단체명,정책사업예산총계
84,2011, 대전,3011000, 대전동구,1.57497E+11
123,2011, 대전,3012000, 대전중구,1.38177E+11
169,2011, 대전,3013000, 대전서구,1.88046E+11
205,2011, 대전,3014000, 대전유성구,1.45629E+11
2141,2011, 대전,3015000, 대전대덕구,1.33307E+11
822,2011, 울산,3111000, 울산중구,86428646000
95,2011, 울산,3112000, 울산남구,99518496000
159,2011, 울산,3113000, 울산동구,62446856000
1691,2011, 울산,3114000, 울산북구,71152753000
245,2011, 울산,3171000, 울산울주군,2.5385E+11
116,2011, 강원,4212000, 강원원주시,4.25677E+11
173,2011, 강원,4213000, 강원강릉시,2.91494E+11
220,2011, 강원,4214000, 강원동해시,1.20399E+11
276,2011, 강원,4215000, 강원태백시,1.14288E+11
345,2011, 강원,4216000, 강원속초시,98338915000
357,2011, 강원,4217000, 강원삼척시,2.06276E+11
456,2011, 강원,4272000, 강원횡성군,1.32087E+11
503,2011, 강원,4273000, 강원영월군,1.67006E+11
622,2011, 강원,4275000, 강원정선군,1.66129E+11
708,2011, 강원,4277000, 강원화천군,1.09908E+11
728,2011, 강원,4278000, 강원양구군,1.14337E+11
767,2011, 강원,4279000, 강원인제군,1.45245E+11
663,2011, 강원,4276000, 강원철원군,1.25601E+11
887,2011, 강원,4281000, 강원양양군,98415237000
49,2011, 강원,4211000, 강원춘천시,4.64242E+11
396,2011, 강원,4271000, 강원홍천군,1.93877E+11
532,2011, 강원,4274000, 강원평창군,1.38945E+11
824,2011, 강원,4280000, 강원고성군,1.26602E+11
91,2011, 충북,4311000, 충북청주시,5.72493E+11
124,2011, 충북,4312000, 충북충주시,3.70112E+11
157,2011, 충북,4313000, 충북제천시,2.84408E+11
211,2011, 충북,4371000, 충북청원군,3.2611E+11
285,2011, 충북,4373000, 충북옥천군,1.7621E+11
528,2011, 충북,4378000, 충북단양군,1.27955E+11
599,2011, 충북,4379000, 충북증평군,1.03181E+11
258,2011, 충북,4372000, 충북보은군,1.4197E+11
352,2011, 충북,4374000, 충북영동군,1.4212E+11
388,2011, 충북,4375000, 충북진천군,1.65108E+11
425,2011, 충북,4376000, 충북괴산군,1.65361E+11
466,2011, 충북,4377000, 충북음성군,1.93631E+11
951,2011, 충남,4411000, 충남천안시,6.4403E+11
144,2011, 충남,4412000, 충남공주시,2.68141E+11
161,2011, 충남,4413000, 충남보령시,2.04455E+11
218,2011, 충남,4414000, 충남아산시,4.22889E+11
248,2011, 충남,4415000, 충남서산시,2.9872E+11
346,2011, 충남,4417000, 충남계룡시,59760981000
433,2011, 충남,4472000, 충남연기군,1.59387E+11
482,2011, 충남,4473000, 충남부여군,2.23538E+11
565,2011, 충남,4474000, 충남서천군,1.59173E+11
604,2011, 충남,4475000, 충남청양군,1.18495E+11
640,2011, 충남,4476000, 충남홍성군,1.82411E+11
678,2011, 충남,4477000, 충남예산군,1.89705E+11
7281,2011, 충남,4478000, 충남태안군,1.38393E+11
787,2011, 충남,4418000, 충남당진시,2.4637E+11
427,2011, 충남,4471000, 충남금산군,1.80181E+11
307,2011, 충남,4416000, 충남논산시,2.90742E+11
56,2011, 전북,4511000, 전북전주시,6.23772E+11
185,2011, 전북,4513000, 전북익산시,4.5824E+11
227,2011, 전북,4514000, 전북정읍시,3.06962E+11
246,2011, 전북,4515000, 전북남원시,3.09523E+11
3042,2011, 전북,4516000, 전북김제시,3.05423E+11
3571,2011, 전북,4571000, 전북완주군,3.21197E+11
395,2011, 전북,4572000, 전북진안군,1.40447E+11
608,2011, 전북,4577000, 전북고창군,2.61655E+11
110,2011, 전북,4512000, 전북군산시,4.1801E+11
438,2011, 전북,4573000, 전북무주군,1.34796E+11
505,2011, 전북,4574000, 전북장수군,1.27589E+11
584,2011, 전북,4576000, 전북순창군,1.43885E+11
670,2011, 전북,4578000, 전북부안군,1.6581E+11
5321,2011, 전북,4575000, 전북임실군,1.77034E+11
911,2011, 전남,4611000, 전남목포시,3.32051E+11
136,2011, 전남,4612000, 전남여수시,4.28354E+11
184,2011, 전남,4613000, 전남순천시,4.10742E+11
200,2011, 전남,4614000, 전남나주시,2.46902E+11
236,2011, 전남,4615000, 전남광양시,2.56578E+11
334,2011, 전남,4672000, 전남곡성군,1.1217E+11
426,2011, 전남,4674000, 전남고흥군,2.19998E+11
5841,2011, 전남,4677000, 전남장흥군,1.64279E+11
6251,2011, 전남,4678000, 전남강진군,1.30643E+11
665,2011, 전남,4679000, 전남해남군,2.33649E+11
6781,2011, 전남,4680000, 전남영암군,1.88784E+11
791,2011, 전남,4682000, 전남함평군,1.46245E+11
848,2011, 전남,4683000, 전남영광군,1.67378E+11
891,2011, 전남,4684000, 전남장성군,1.81734E+11
900,2011, 전남,4685000, 전남완도군,1.61184E+11
983,2011, 전남,4686000, 전남진도군,1.41343E+11
992,2011, 전남,4687000, 전남신안군,2.07289E+11
370,2011, 전남,4673000, 전남구례군,1.11698E+11
5031,2011, 전남,4675000, 전남보성군,1.85154E+11
744,2011, 전남,4681000, 전남무안군,1.76945E+11
293,2011, 전남,4671000, 전남담양군,1.71126E+11
525,2011, 전남,4676000, 전남화순군,2.50336E+11
531,2011, 경북,4711000, 경북포항시,5.85169E+11
104,2011, 경북,4712000, 경북경주시,4.79481E+11
2061,2011, 경북,4714000, 경북안동시,3.42036E+11
318,2011, 경북,4716000, 경북영주시,2.1614E+11
338,2011, 경북,4717000, 경북영천시,3.90065E+11
4661,2011, 경북,4720000, 경북경산시,2.8445E+11
529,2011, 경북,4771000, 경북군위군,1.16221E+11
723,2011, 경북,4775000, 경북영덕군,1.45988E+11
798,2011, 경북,4777000, 경북고령군,1.18688E+11
850,2011, 경북,4778000, 경북성주군,1.40841E+11
866,2011, 경북,4779000, 경북칠곡군,1.96268E+11
925,2011, 경북,4780000, 경북예천군,1.50927E+11
976,2011, 경북,4781000, 경북봉화군,1.81217E+11
1041,2011, 경북,4783000, 경북울릉군,35352724000
279,2011, 경북,4715000, 경북구미시,6.38357E+11
5871,2011, 경북,4772000, 경북의성군,2.32034E+11
1591,2011, 경북,4713000, 경북김천시,2.74667E+11
390,2011, 경북,4718000, 경북상주시,3.02616E+11
423,2011, 경북,4719000, 경북문경시,2.14358E+11
614,2011, 경북,4773000, 경북청송군,1.17094E+11
657,2011, 경북,4774000, 경북영양군,1.13989E+11
754,2011, 경북,4776000, 경북청도군,1.46889E+11
1002,2011, 경북,4782000, 경북울진군,3.17859E+11
561,2011, 경남,4811000, 경남창원시,1.25319E+12
127,2011, 경남,4813000, 경남진주시,4.54713E+11
2101,2011, 경남,4815000, 경남통영시,2.15146E+11
2481,2011, 경남,4816000, 경남사천시,2.49713E+11
2581,2011, 경남,4817000, 경남김해시,5.72389E+11
359,2011, 경남,4819000, 경남거제시,2.22942E+11
4151,2011, 경남,4820000, 경남양산시,3.41648E+11
504,2011, 경남,4872000, 경남함안군,1.68297E+11
615,2011, 경남,4874000, 경남고성군,1.67783E+11
6391,2011, 경남,4875000, 경남남해군,1.43374E+11
690,2011, 경남,4876000, 경남하동군,1.84566E+11
760,2011, 경남,4877000, 경남산청군,1.8171E+11
845,2011, 경남,4879000, 경남거창군,2.24795E+11
5842,2011, 경남,4873000, 경남창녕군,1.98552E+11
327,2011, 경남,4818000, 경남밀양시,2.74439E+11
475,2011, 경남,4871000, 경남의령군,1.61227E+11
779,2011, 경남,4878000, 경남함양군,2.04841E+11
8661,2011, 경남,4880000, 경남합천군,2.02521E+11
71,2011, 제주,4900000, 제주본청,1.30273E+12
