,회계연도,지역명,자치단체코드,자치단체명,정책사업예산총계
92,2011, 서울,1111000, 서울종로구,87563835000
132,2011, 서울,1112000, 서울중구,1.03042E+11
168,2011, 서울,1113000, 서울용산구,78232862000
206,2011, 서울,1114000, 서울성동구,1.15005E+11
241,2011, 서울,1115000, 서울광진구,1.03716E+11
254,2011, 서울,1116000, 서울동대문구,1.44713E+11
449,2011, 서울,1121000, 서울노원구,2.35654E+11
484,2011, 서울,1122000, 서울은평구,1.72394E+11
540,2011, 서울,1124000, 서울마포구,1.6398E+11
587,2011, 서울,1125000, 서울양천구,1.53424E+11
625,2011, 서울,1126000, 서울강서구,2.17469E+11
668,2011, 서울,1127000, 서울구로구,1.47239E+11
706,2011, 서울,1128000, 서울금천구,1.14574E+11
749,2011, 서울,1129000, 서울영등포구,1.63903E+11
773,2011, 서울,1130000, 서울동작구,1.35823E+11
792,2011, 서울,1131000, 서울관악구,1.59329E+11
828,2011, 서울,1132000, 서울서초구,1.58588E+11
861,2011, 서울,1133000, 서울강남구,2.49517E+11
929,2011, 서울,1134000, 서울송파구,1.82851E+11
947,2011, 서울,1135000, 서울강동구,1.39032E+11
517,2011, 서울,1123000, 서울서대문구,1.09351E+11
304,2011, 서울,1117000, 서울중랑구,1.66569E+11
381,2011, 서울,1119000, 서울강북구,1.44182E+11
351,2011, 서울,1118000, 서울성북구,1.69321E+11
412,2011, 서울,1120000, 서울도봉구,1.22707E+11
82,2011, 부산,2611000, 부산중구,39515057000
97,2011, 부산,2612000, 부산서구,88542424000
179,2011, 부산,2614000, 부산영도구,88854312000
233,2011, 부산,2615000, 부산부산진구,1.55717E+11
264,2011, 부산,2616000, 부산동래구,94974422000
3041,2011, 부산,2617000, 부산남구,1.00088E+11
335,2011, 부산,2618000, 부산북구,1.58014E+11
378,2011, 부산,2619000, 부산해운대구,1.83604E+11
411,2011, 부산,2620000, 부산사하구,1.6671E+11
448,2011, 부산,2621000, 부산금정구,1.15525E+11
526,2011, 부산,2623000, 부산연제구,94956784000
592,2011, 부산,2625000, 부산사상구,1.22535E+11
639,2011, 부산,2671000, 부산기장군,1.19384E+11
483,2011, 부산,2622000, 부산강서구,70869718000
147,2011, 부산,2613000, 부산동구,78848234000
536,2011, 부산,2624000, 부산수영구,72888459000
821,2011, 대구,2711000, 대구중구,59746767000
117,2011, 대구,2712000, 대구동구,1.87566E+11
148,2011, 대구,2713000, 대구서구,1.02152E+11
181,2011, 대구,2714000, 대구남구,1.00809E+11
253,2011, 대구,2716000, 대구수성구,1.81763E+11
267,2011, 대구,2717000, 대구달서구,2.29398E+11
329,2011, 대구,2771000, 대구달성군,2.11682E+11
214,2011, 대구,2715000, 대구북구,1.95029E+11
68,2011, 인천,2811000, 인천중구,86253078000
139,2011, 인천,2812000, 인천동구,58794978000
175,2011, 인천,2813000, 인천남구,1.82281E+11
210,2011, 인천,2814000, 인천연수구,1.4298E+11
249,2011, 인천,2815000, 인천남동구,2.26932E+11
268,2011, 인천,2816000, 인천부평구,2.49159E+11
333,2011, 인천,2817000, 인천계양구,1.57999E+11
369,2011, 인천,2818000, 인천서구,2.12395E+11
415,2011, 인천,2871000, 인천강화군,2.07906E+11
417,2011, 인천,2872000, 인천옹진군,86158824000
86,2011, 광주,2911000, 광주동구,84582466000
155,2011, 광주,2913000, 광주남구,1.18807E+11
162,2011, 광주,2914000, 광주북구,2.2987E+11
194,2011, 광주,2915000, 광주광산구,1.95942E+11
1171,2011, 광주,2912000, 광주서구,1.51823E+11
