시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
서울특별시,서울특별시 성동구,성수2가제1동,O,X,O,-36.49,5.00,2.93,0.00,86.95,2,O
서울특별시,서울특별시 성동구,성수2가제3동,O,X,O,-35.50,4.00,2.70,0.00,73.06,2,O
서울특별시,서울특별시 성동구,송정동,O,X,O,-51.77,5.00,-3.40,2.00,87.04,2,O
서울특별시,서울특별시 성동구,용답동,O,X,O,-38.63,5.00,-1.51,0.00,87.45,2,O
서울특별시,서울특별시 성동구,왕십리도선동,X,O,O,59.44,1.00,-36.23,1.00,86.59,2,O
서울특별시,서울특별시 성동구,금호2·3가동,X,O,O,4.47,2.00,-26.57,3.00,79.68,2,O
서울특별시,서울특별시 성동구,옥수동,O,O,O,-34.09,2.00,-13.80,2.00,60.77,3,O
서울특별시,서울특별시 광진구,화양동,O,X,O,-25.68,1.00,1.85,0.00,77.22,2,O
서울특별시,서울특별시 광진구,군자동,O,X,O,-12.66,5.00,-4.96,2.00,72.04,2,O
서울특별시,서울특별시 광진구,중곡제1동,O,X,O,-22.85,5.00,-1.47,2.00,72.34,2,O
서울특별시,서울특별시 광진구,중곡제2동,O,X,O,-7.45,3.00,-1.40,1.00,64.85,2,O
서울특별시,서울특별시 광진구,중곡제3동,O,X,O,-31.20,5.00,-3.07,2.00,76.06,2,O
서울특별시,서울특별시 광진구,중곡제4동,X,X,O,-6.59,2.00,-2.58,1.00,64.22,1,X
서울특별시,서울특별시 광진구,능동,O,X,O,-52.37,1.00,2.37,2.00,52.06,2,O
서울특별시,서울특별시 광진구,구의제1동,O,X,O,-38.96,2.00,0.46,1.00,67.95,2,O
서울특별시,서울특별시 광진구,구의제2동,X,O,O,-4.11,2.00,-9.57,4.00,61.47,2,O
서울특별시,서울특별시 광진구,구의제3동,X,O,O,-2.62,2.00,-9.84,3.00,57.94,2,O
서울특별시,서울특별시 광진구,광장동,O,O,O,4.74,3.00,-30.34,0.00,59.78,3,O
서울특별시,서울특별시 광진구,자양제1동,O,O,O,-28.14,5.00,-7.69,2.00,73.54,3,O
서울특별시,서울특별시 광진구,자양제2동,O,O,O,-12.34,5.00,-5.31,2.00,62.65,3,O
서울특별시,서울특별시 광진구,자양제3동,O,X,O,-15.72,5.00,-0.54,2.00,79.10,2,O
서울특별시,서울특별시 광진구,자양제4동,O,X,O,-13.02,5.00,-2.02,1.00,88.19,2,O
서울특별시,서울특별시 동대문구,회기동,O,O,O,-19.68,3.00,-5.08,1.00,75.72,3,O
서울특별시,서울특별시 동대문구,휘경제1동,O,X,O,-33.37,5.00,-1.74,1.00,86.04,2,O
서울특별시,서울특별시 동대문구,휘경제2동,O,X,O,0.68,4.00,-2.08,0.00,68.38,2,O
서울특별시,서울특별시 동대문구,청량리동,O,O,O,-5.01,5.00,-8.88,1.00,85.46,3,O
서울특별시,서울특별시 동대문구,용신동,O,X,O,6.83,3.00,5.13,0.00,80.67,2,O
서울특별시,서울특별시 동대문구,제기동,O,O,O,-0.47,5.00,-9.65,2.00,82.63,3,O
서울특별시,서울특별시 동대문구,전농제1동,O,X,O,21.73,3.00,-3.90,1.00,84.42,2,O
