,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
81,서울특별시 동대문구,회기동,-19.68,3,-5.08,1,75.72,3,1
82,서울특별시 동대문구,휘경제1동,-33.37,5,-1.74,1,86.04,2,1
83,서울특별시 동대문구,휘경제2동,0.68,4,-2.08,0,68.38,2,1
84,서울특별시 동대문구,청량리동,-5.01,5,-8.88,1,85.46,3,1
85,서울특별시 동대문구,용신동,6.83,3,5.13,0,80.67,2,1
86,서울특별시 동대문구,제기동,-0.47,5,-9.65,2,82.63,3,1
87,서울특별시 동대문구,전농제1동,21.73,3,-3.9,1,84.42,2,1
88,서울특별시 동대문구,전농제2동,10.67,5,1.78,1,78.42,2,1
89,서울특별시 동대문구,답십리제2동,-8.9,4,-5.64,2,77.39,3,1
90,서울특별시 동대문구,장안제1동,3.14,2,1.17,1,71.49,1,0
91,서울특별시 동대문구,장안제2동,0.8,2,1.59,0,78.91,1,0
92,서울특별시 동대문구,이문제1동,-4.97,5,-5.99,1,87.44,3,1
93,서울특별시 동대문구,이문제2동,-6.35,3,-17.72,2,84.48,3,1
94,서울특별시 동대문구,답십리제1동,32.27,2,-7.75,1,83.71,2,1
95,서울특별시 중랑구,면목제2동,-24.52,5,-0.86,1,80.9,2,1
96,서울특별시 중랑구,면목제4동,-21.9,3,-1.89,2,80.25,2,1
97,서울특별시 중랑구,면목제5동,-49.94,5,-2.79,1,81.7,2,1
98,서울특별시 중랑구,면목제7동,-23.95,5,-10.65,3,84.38,3,1
99,서울특별시 중랑구,상봉제1동,2.29,2,5.96,0,64.22,1,0
100,서울특별시 중랑구,상봉제2동,-25.92,3,-2.71,2,77.77,2,1
101,서울특별시 중랑구,중화제1동,-40.51,3,0.12,1,65.88,2,1
102,서울특별시 중랑구,중화제2동,-7.8,5,-2.26,3,87.81,3,1
103,서울특별시 중랑구,묵제1동,-1.74,3,3.33,0,58.07,2,1
104,서울특별시 중랑구,묵제2동,-25.3,3,2.03,1,72.04,2,1
105,서울특별시 중랑구,망우제3동,-31.04,4,-4.34,1,76.91,2,1
106,서울특별시 중랑구,신내1동,30.64,2,7.73,0,53.18,1,0
