,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
86,경기도 성남시,삼평동,26.96,2,25.6,0,0,0,0
87,경기도 성남시,판교동,-19.6,0,12.18,0,2.25,0,0
88,경기도 성남시,백현동,160.43,0,20.21,0,0,0,0
89,경기도 의정부시,의정부1동,-2.86,2,-4.62,3,82.58,2,1
90,경기도 의정부시,의정부2동,-4.4,1,3.64,1,73.55,1,0
91,경기도 의정부시,의정부3동,-20.97,3,-2.09,1,86.7,2,1
92,경기도 의정부시,호원1동,3.91,1,-0.95,1,51.35,1,0
93,경기도 의정부시,장암동,-6.65,5,15.77,1,47.95,1,0
94,경기도 의정부시,신곡1동,-7.18,5,-4.15,1,69.35,2,1
95,경기도 의정부시,신곡2동,-7.52,3,-1.3,1,40.51,1,0
96,경기도 의정부시,송산1동,-2.02,5,0.89,0,55.93,2,1
97,경기도 의정부시,자금동,-3.55,5,3.74,1,68.91,2,1
98,경기도 의정부시,가능1동,-31.57,4,-1.48,2,86.98,2,1
99,경기도 의정부시,가능2동,-34.32,4,-10.9,2,83.63,3,1
100,경기도 의정부시,가능3동,-26.79,5,-9.65,1,84.57,3,1
101,경기도 의정부시,녹양동,-0.33,2,-0.44,1,51.23,1,0
102,경기도 의정부시,호원2동,-2.96,4,4.36,1,55.31,2,1
103,경기도 의정부시,송산2동,31.74,0,5.02,0,6.59,0,0
104,경기도 안양시,안양1동,-5.4,2,-2.23,3,78.5,2,1
105,경기도 안양시,안양2동,-26.49,3,-0.43,1,76.48,2,1
106,경기도 안양시,안양3동,-51.84,5,-4.02,2,73.73,2,1
107,경기도 안양시,안양4동,-35.6,3,-13.76,2,79.23,3,1
108,경기도 안양시,안양5동,-24.79,2,-7.09,2,81.13,3,1
109,경기도 안양시,안양6동,-38.73,2,-0.63,1,75.93,2,1
110,경기도 안양시,안양7동,-85.46,4,-23.17,3,68.18,3,1
111,경기도 안양시,안양8동,-27.12,4,4.9,1,80.72,2,1
112,경기도 안양시,안양9동,-4.62,3,-8.74,2,66.34,3,1
113,경기도 안양시,석수1동,-0.29,3,-0.14,1,44.87,1,0
114,경기도 안양시,석수2동,-5.01,2,2.87,2,67.8,1,0
115,경기도 안양시,석수3동,-23.71,5,-7.78,1,82.99,3,1
116,경기도 안양시,박달1동,-23.36,3,-2.86,2,80.6,2,1
117,경기도 안양시,박달2동,-8.87,2,12.48,0,52.6,1,0
118,경기도 안양시,비산1동,-3.69,2,-2.38,1,67.65,1,0
119,경기도 안양시,비산2동,-47.41,5,0.66,1,66.76,2,1
120,경기도 안양시,비산3동,-17.5,5,0,1,77.9,2,1
121,경기도 안양시,부흥동,-21.71,5,2.79,0,87.96,2,1
122,경기도 안양시,달안동,-31.93,3,5.64,0,79.73,2,1
123,경기도 안양시,관양1동,14.69,3,7.15,1,70.57,2,1
124,경기도 안양시,관양2동,-21.61,4,13.57,0,67.29,2,1
125,경기도 안양시,부림동,-7.94,3,2.14,1,63.48,2,1
126,경기도 안양시,평촌동,-5.43,3,3.17,1,43.55,1,0
127,경기도 안양시,평안동,-13.59,5,3.55,1,88.2,2,1
128,경기도 안양시,귀인동,-6.01,5,-1.75,1,73.37,2,1
129,경기도 안양시,호계1동,-56.45,5,-0.88,2,81.5,2,1
130,경기도 안양시,호계2동,-6.38,5,0.26,1,72.85,2,1
131,경기도 안양시,호계3동,-2.09,2,1.38,0,65.4,1,0
132,경기도 안양시,범계동,-18.95,5,-0.63,1,77.33,2,1
133,경기도 안양시,신촌동,-13.22,5,-1.26,1,71.24,2,1
134,경기도 안양시,갈산동,-10.48,3,3.34,1,49.15,1,0
135,경기도 부천시,심곡1동,-60.76,2,-5.3,1,74.98,3,1
136,경기도 부천시,심곡2동,-5.6,1,0.29,2,67.58,1,0
137,경기도 부천시,심곡3동,-65.82,5,-15.47,2,80.66,3,1
138,경기도 부천시,원미1동,-19.51,3,-1.64,2,78.57,2,1
139,경기도 부천시,원미2동,-36.8,5,-13.59,3,86.01,3,1
140,경기도 부천시,소사동,-30.23,4,-10.18,3,78.49,3,1
141,경기도 부천시,역곡1동,-5.2,2,1.19,0,48.94,0,0
142,경기도 부천시,역곡2동,-0.09,1,4.4,1,45.27,0,0
143,경기도 부천시,춘의동,-32.92,4,-0.7,1,66.56,2,1
144,경기도 부천시,도당동,-13.95,5,1.13,1,66.7,2,1
145,경기도 부천시,약대동,-7.4,0,-17.44,0,58.82,2,1
146,경기도 부천시,중동,-25.66,3,-4.28,3,80.5,3,1
147,경기도 부천시,중1동,-11.83,3,14.72,0,42.82,1,0
148,경기도 부천시,중2동,-0.32,1,7.09,0,73,1,0
149,경기도 부천시,중3동,-32.44,3,-0.35,1,55.91,2,1
150,경기도 부천시,중4동,-21.1,4,1.75,0,80.8,2,1
151,경기도 부천시,상동,-16.64,2,-21.56,3,78.98,2,1
152,경기도 부천시,상1동,-19.71,5,-2.15,1,81.37,2,1
153,경기도 부천시,상2동,-3.1,5,2.44,0,0,1,0
154,경기도 부천시,상3동,-4.57,5,6.52,0,0,1,0
155,경기도 부천시,심곡본1동,-19.63,2,-8.08,4,78.28,2,1
156,경기도 부천시,심곡본동,-20.64,4,-4.64,1,82.12,2,1
157,경기도 부천시,소사본3동,-5.31,5,-4.29,2,84.21,2,1
158,경기도 부천시,범박동,6.22,1,-13.58,1,39.73,1,0
159,경기도 부천시,괴안동,-34.77,4,-1.27,2,65.77,2,1
160,경기도 부천시,역곡3동,-8.47,4,-1.37,1,53.37,2,1
161,경기도 부천시,송내1동,-3.96,5,-0.51,1,60.37,2,1
162,경기도 부천시,송내2동,-2.97,4,-12.26,1,69.02,3,1
163,경기도 부천시,소사본동,0,2,-16.14,2,80.25,2,1
164,경기도 부천시,성곡동,-2.61,5,4.01,1,55.58,2,1
165,경기도 부천시,원종1동,-14.99,4,-1.3,2,68.45,2,1
166,경기도 부천시,원종2동,-12.2,5,-14.82,3,77.03,3,1
167,경기도 부천시,고강본동,-35.86,5,0,0,74.89,2,1
168,경기도 부천시,고강1동,-13.47,4,-5.34,1,68.37,3,1
169,경기도 부천시,오정동,0.5,1,6.89,0,53.22,1,0
170,경기도 부천시,신흥동,-25.06,4,4.02,0,65.3,2,1
171,경기도 광명시,광명1동,-20.41,5,-3.97,1,84.06,2,1
172,경기도 광명시,광명2동,-24.77,5,-14.12,2,83.01,3,1
173,경기도 광명시,광명3동,-30.24,5,-5.65,3,85.64,3,1
174,경기도 광명시,광명4동,-17.63,5,-4.84,2,77.6,2,1
175,경기도 광명시,광명5동,-26.8,5,-3.51,1,74.41,2,1
176,경기도 광명시,광명6동,-18.56,2,1.67,0,65.01,1,0
177,경기도 광명시,광명7동,-15.81,5,1.11,1,76.41,2,1
178,경기도 광명시,철산1동,-5.42,5,-0.59,1,67.89,2,1
179,경기도 광명시,철산2동,-37.43,5,-2.72,1,93.69,2,1
180,경기도 광명시,철산3동,-8.45,4,0.52,1,76.95,2,1
181,경기도 광명시,철산4동,-18.2,5,0.67,1,81.58,2,1
182,경기도 광명시,하안1동,-10.49,3,3.44,0,62.96,2,1
183,경기도 광명시,하안2동,-71.37,5,0.47,2,97.26,2,1
184,경기도 광명시,하안3동,-25.63,5,-2.6,2,86.47,2,1
185,경기도 광명시,하안4동,-17.24,5,-6.96,2,94.37,3,1
186,경기도 광명시,소하1동,24.71,1,2.64,0,34.19,0,0
187,경기도 광명시,소하2동,37.93,1,30.69,1,63,1,0
188,경기도 광명시,학온동,-55.11,5,16.58,1,32.51,1,0
189,경기도 평택시,팽성읍,-15.08,3,-3.01,1,30.62,1,0
190,경기도 평택시,안중읍,3.45,1,5.55,0,29.31,0,0
191,경기도 평택시,포승읍,8.47,2,10.64,0,18.64,0,0
192,경기도 평택시,진위면,-18.03,5,20.34,0,31.99,1,0
193,경기도 평택시,서탄면,-44.6,2,16.2,0,21.11,1,0
194,경기도 평택시,고덕면,-20.76,5,-27.32,3,30.52,2,1
195,경기도 평택시,오성면,-56.75,0,23.73,1,23.96,1,0
196,경기도 평택시,청북면,113.65,0,29.6,1,12.97,0,0
197,경기도 평택시,현덕면,-49.38,5,0.59,2,28.71,1,0
198,경기도 평택시,중앙동,-4.8,2,-6.79,3,38.17,1,0
199,경기도 평택시,서정동,-12.83,5,-6.76,2,72.26,3,1
200,경기도 평택시,송탄동,75.05,1,14.87,0,27.42,0,0
201,경기도 평택시,지산동,-10.82,0,-26.83,1,65.38,2,1
202,경기도 평택시,송북동,-1.55,1,-3.69,1,46.61,0,0
203,경기도 평택시,신장1동,-34.06,1,-20.41,2,60.58,3,1
204,경기도 평택시,신장2동,-55.44,5,-36.54,3,83.33,3,1
205,경기도 평택시,신평동,9.19,1,0.94,1,53.32,1,0
206,경기도 평택시,원평동,-15.67,3,0.15,1,46.99,1,0
207,경기도 평택시,통복동,-49.03,5,-21.77,2,79.43,3,1
208,경기도 평택시,비전1동,86.78,0,1.31,1,26.06,0,0
209,경기도 평택시,비전2동,15.37,1,1.16,0,50.76,1,0
210,경기도 평택시,세교동,-12.89,5,-5.59,1,44.31,2,1
211,경기도 동두천시,생연1동,-15.06,2,-15.53,5,74.76,2,1
212,경기도 동두천시,생연2동,-5.57,5,-11.19,3,73.2,3,1
213,경기도 동두천시,중앙동,-34.29,5,-23.04,3,79.97,3,1
214,경기도 동두천시,보산동,-49.59,2,-17.43,5,75.87,3,1
215,경기도 동두천시,불현동,-32,0,4.68,1,55.99,2,1
216,경기도 동두천시,소요동,-10.84,1,0.57,1,52.23,1,0
217,경기도 동두천시,상패동,-34.3,5,6.27,2,55.87,2,1
218,경기도 동두천시,송내동,2.99,0,4.87,0,15.42,0,0
219,경기도 안산시,일동,-26.73,1,2.72,1,35.45,1,0
220,경기도 안산시,사1동,-20.24,1,-2,2,26.13,1,0
221,경기도 안산시,사2동,-0.87,1,-2.79,3,42.75,1,0
222,경기도 안산시,본오1동,2.33,1,-3.34,1,38.69,0,0
223,경기도 안산시,본오2동,-27.08,5,-7.7,1,43.15,2,1
