시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
경기도,경기도 성남시,상대원3동,O,O,O,-42.54,4.00,-9.67,2.00,90.42,3,O
경기도,경기도 성남시,하대원동,O,X,O,-4.37,4.00,0.66,1.00,70.39,2,O
경기도,경기도 성남시,도촌동,X,X,X,95.01,0.00,42.05,0.00,4.38,0,X
경기도,경기도 성남시,중앙동,O,O,O,-36.64,1.00,-15.99,4.00,85.67,3,O
경기도,경기도 성남시,분당동,O,X,O,-8.55,5.00,-0.50,0.00,56.80,2,O
경기도,경기도 성남시,수내3동,O,X,O,-7.17,5.00,0.20,2.00,59.13,2,O
경기도,경기도 성남시,수내1동,X,X,O,-5.48,2.00,13.54,0.00,67.63,1,X
경기도,경기도 성남시,수내2동,O,X,O,-12.50,4.00,-0.96,2.00,96.39,2,O
경기도,경기도 성남시,정자2동,O,X,O,-71.41,3.00,-4.74,1.00,91.89,2,O
경기도,경기도 성남시,정자3동,O,O,O,-1.44,5.00,-7.61,2.00,53.81,3,O
경기도,경기도 성남시,정자1동,O,X,O,-42.66,2.00,5.63,1.00,73.07,2,O
경기도,경기도 성남시,서현1동,X,X,X,-5.93,2.00,9.19,0.00,45.54,0,X
경기도,경기도 성남시,서현2동,O,X,O,-10.97,5.00,-1.24,1.00,67.99,2,O
경기도,경기도 성남시,이매1동,O,X,X,-8.65,5.00,0.87,1.00,44.85,1,X
경기도,경기도 성남시,이매2동,O,X,O,-13.45,5.00,-4.41,1.00,96.84,2,O
경기도,경기도 성남시,야탑1동,O,X,O,-10.18,5.00,3.69,1.00,67.01,2,O
경기도,경기도 성남시,야탑3동,O,X,O,-9.14,5.00,8.50,1.00,64.07,2,O
경기도,경기도 성남시,야탑2동,O,X,O,-17.00,4.00,0.19,1.00,85.36,2,O
경기도,경기도 성남시,구미동,O,X,O,-10.78,4.00,7.59,1.00,53.97,2,O
경기도,경기도 성남시,운중동,X,X,X,31.38,0.00,18.20,0.00,7.46,0,X
경기도,경기도 성남시,금곡동,O,X,X,-37.87,1.00,1.74,1.00,28.24,1,X
경기도,경기도 성남시,구미1동,X,X,O,-8.39,2.00,1.20,2.00,63.26,1,X
경기도,경기도 성남시,삼평동,X,X,X,26.96,2.00,25.60,0.00,0.00,0,X
경기도,경기도 성남시,판교동,X,X,X,-19.60,0.00,12.18,0.00,2.25,0,X
경기도,경기도 성남시,백현동,X,X,X,160.43,0.00,20.21,0.00,0.00,0,X
경기도,경기도 의정부시,의정부1동,X,O,O,-2.86,2.00,-4.62,3.00,82.58,2,O
경기도,경기도 의정부시,의정부2동,X,X,O,-4.40,1.00,3.64,1.00,73.55,1,X
경기도,경기도 의정부시,의정부3동,O,X,O,-20.97,3.00,-2.09,1.00,86.70,2,O
경기도,경기도 의정부시,호원1동,X,X,O,3.91,1.00,-0.95,1.00,51.35,1,X
경기도,경기도 의정부시,장암동,O,X,X,-6.65,5.00,15.77,1.00,47.95,1,X
경기도,경기도 의정부시,신곡1동,O,X,O,-7.18,5.00,-4.15,1.00,69.35,2,O
경기도,경기도 의정부시,신곡2동,O,X,X,-7.52,3.00,-1.30,1.00,40.51,1,X
경기도,경기도 의정부시,송산1동,O,X,O,-2.02,5.00,0.89,0.00,55.93,2,O
경기도,경기도 의정부시,자금동,O,X,O,-3.55,5.00,3.74,1.00,68.91,2,O
경기도,경기도 의정부시,가능1동,O,X,O,-31.57,4.00,-1.48,2.00,86.98,2,O
경기도,경기도 의정부시,가능2동,O,O,O,-34.32,4.00,-10.90,2.00,83.63,3,O
경기도,경기도 의정부시,가능3동,O,O,O,-26.79,5.00,-9.65,1.00,84.57,3,O
경기도,경기도 의정부시,녹양동,X,X,O,-0.33,2.00,-0.44,1.00,51.23,1,X
경기도,경기도 의정부시,호원2동,O,X,O,-2.96,4.00,4.36,1.00,55.31,2,O
경기도,경기도 의정부시,송산2동,X,X,X,31.74,0.00,5.02,0.00,6.59,0,X
경기도,경기도 안양시,안양1동,X,O,O,-5.40,2.00,-2.23,3.00,78.50,2,O
경기도,경기도 안양시,안양2동,O,X,O,-26.49,3.00,-0.43,1.00,76.48,2,O
경기도,경기도 안양시,안양3동,O,X,O,-51.84,5.00,-4.02,2.00,73.73,2,O
경기도,경기도 안양시,안양4동,O,O,O,-35.60,3.00,-13.76,2.00,79.23,3,O
경기도,경기도 안양시,안양5동,O,O,O,-24.79,2.00,-7.09,2.00,81.13,3,O
경기도,경기도 안양시,안양6동,O,X,O,-38.73,2.00,-0.63,1.00,75.93,2,O
경기도,경기도 안양시,안양7동,O,O,O,-85.46,4.00,-23.17,3.00,68.18,3,O
경기도,경기도 안양시,안양8동,O,X,O,-27.12,4.00,4.90,1.00,80.72,2,O
경기도,경기도 안양시,안양9동,O,O,O,-4.62,3.00,-8.74,2.00,66.34,3,O
경기도,경기도 안양시,석수1동,O,X,X,-0.29,3.00,-0.14,1.00,44.87,1,X
경기도,경기도 안양시,석수2동,X,X,O,-5.01,2.00,2.87,2.00,67.80,1,X
경기도,경기도 안양시,석수3동,O,O,O,-23.71,5.00,-7.78,1.00,82.99,3,O
경기도,경기도 안양시,박달1동,O,X,O,-23.36,3.00,-2.86,2.00,80.60,2,O
경기도,경기도 안양시,박달2동,X,X,O,-8.87,2.00,12.48,0.00,52.60,1,X
경기도,경기도 안양시,비산1동,X,X,O,-3.69,2.00,-2.38,1.00,67.65,1,X
경기도,경기도 안양시,비산2동,O,X,O,-47.41,5.00,0.66,1.00,66.76,2,O
경기도,경기도 안양시,비산3동,O,X,O,-17.50,5.00,0.00,1.00,77.90,2,O
경기도,경기도 안양시,부흥동,O,X,O,-21.71,5.00,2.79,0.00,87.96,2,O
경기도,경기도 안양시,달안동,O,X,O,-31.93,3.00,5.64,0.00,79.73,2,O
경기도,경기도 안양시,관양1동,O,X,O,14.69,3.00,7.15,1.00,70.57,2,O
경기도,경기도 안양시,관양2동,O,X,O,-21.61,4.00,13.57,0.00,67.29,2,O
경기도,경기도 안양시,부림동,O,X,O,-7.94,3.00,2.14,1.00,63.48,2,O
경기도,경기도 안양시,평촌동,O,X,X,-5.43,3.00,3.17,1.00,43.55,1,X
경기도,경기도 안양시,평안동,O,X,O,-13.59,5.00,3.55,1.00,88.20,2,O
경기도,경기도 안양시,귀인동,O,X,O,-6.01,5.00,-1.75,1.00,73.37,2,O
경기도,경기도 안양시,호계1동,O,X,O,-56.45,5.00,-0.88,2.00,81.50,2,O
경기도,경기도 안양시,호계2동,O,X,O,-6.38,5.00,0.26,1.00,72.85,2,O
경기도,경기도 안양시,호계3동,X,X,O,-2.09,2.00,1.38,0.00,65.40,1,X
경기도,경기도 안양시,범계동,O,X,O,-18.95,5.00,-0.63,1.00,77.33,2,O
경기도,경기도 안양시,신촌동,O,X,O,-13.22,5.00,-1.26,1.00,71.24,2,O
