각연도종사자수/2015년종사자수,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평군,여주군,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시
2008,0.710369487,0.286054525,3.280427046,2.46777055,0.473771857,0.827572585,1.902998236,0.304548451,0.782053279,5.553645117,0.732330097,0.965782949,0.909639743,0.712399541,0.524893204,0.868421053,1.101323627,0.895437262,1.180534918,0.793184489,1.602965404,2.229487179,0.212401353,1.46763754,2.341161044,0.534854564,0.431657288,1.474416944,0.666519043,1.29418429,0.222959017
2009,1.095351609,0.990321273,1.151601423,0.988566923,0.814876492,0.97373099,1.017930629,0.773456383,0.954665836,1.065337001,0.804174757,0.887049399,0.892041195,0.937428243,0.956582524,0.88215103,0.983587028,0.928231939,1.118870728,1.066980024,1.087314662,0.891880342,0.921608418,0.621763754,0.994159018,0.877131394,0.753857324,0.845906711,0.99911426,0.841767372,0.711164257
2010,0.974970203,0.99706091,1.02633452,0.913857678,0.830696642,0.94035157,1.028806584,0.76972094,0.973516124,0.936726272,0.907572816,0.891207324,0.9229373,0.915805587,0.908194175,0.891304348,1.041826605,0.894011407,1.085438336,1.015276146,0.965403624,0.888461538,0.903194288,0.594660194,0.933484325,0.934052156,0.815392993,0.854831033,1.02258636,0.901057402,0.798021524
2011,0.964243147,1.010134793,0.93024911,0.932978514,0.859839023,0.947857002,1.043797766,0.843331136,0.953886898,0.827372765,0.901067961,0.904405874,0.964684528,0.974741676,0.980582524,0.900457666,1.060092654,0.872623574,1.120356612,0.967097532,0.978583196,0.930769231,0.943254416,0.649676375,0.921683157,0.989719157,0.898348158,0.902308425,1.091231178,0.738293051,0.883900424
2012,1.003575685,0.984392419,0.898220641,0.89848216,0.902581182,0.960497729,1.037624927,0.886838058,1.007789375,0.931224209,0.941456311,0.950486363,0.984334925,0.969957903,0.954019417,0.919527079,1.067107876,0.878326996,1.049034175,0.886016451,1.097199341,0.95,0.938594513,0.672330097,0.963404458,0.98445336,0.900163369,0.914683484,1.055801594,0.809667674,0.89824981
2013,1,0.978514239,0.985765125,0.894933964,0.898140439,1.010665613,1.074955908,0.903317952,1.061691852,0.889958735,0.939223301,0.964180813,0.994791461,0.984883276,0.947883495,0.952707857,1.104301787,0.927756654,1.027488856,0.954759107,1.031301483,0.980769231,0.954829012,0.675566343,1.029681726,0.990471414,0.925394808,0.929795336,1.010186005,0.826661631,0.920426133
2014,1.067938021,0.968835512,0.894661922,0.966292135,0.908964752,1.005332807,0.992357437,1.023071852,0.973204549,0.843191197,0.90184466,1.020026702,0.996093596,0.972636816,0.970174757,0.939740656,1.079285242,0.894486692,1.037890045,0.941833137,0.952224053,1.006410256,0.966102969,0.70105178,1.011562761,0.97893681,0.924487203,0.920752023,1.017714792,0.810045317,0.983041635
2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
