,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평군,여주군,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시
2008,0.090643275,0.092747112,0.553734062,0.240471414,0.012960713,0.295425667,0.143712575,0.092005076,0.135903084,0.185869565,0.236416645,0.065800992,0.145138258,0.068479097,0.079031788,0.164807931,0.325072637,0.029049296,0.189119171,0.172064777,0.199074074,0.15917603,0.02275641,0.281553398,0.112716763,0.123567921,0.020080321,0.131474104,0.059267241,0.056962025,0.013379205
2009,0.097982709,0.137242767,0.541446208,0.288209607,0.017446177,0.311720698,0.193153001,0.099329677,0.159434914,0.18879056,0.279857861,0.070842855,0.188926725,0.074794316,0.113418079,0.164899882,0.403943377,0.04956727,0.18705036,0.194285714,0.209876543,0.174891775,0.033283582,0.30129516,0.13227345,0.177621283,0.022877784,0.158630952,0.07278481,0.055891239,0.020070423
2010,0.158333333,0.199665196,0.541237113,0.38102931,0.02038835,0.362684729,0.248694255,0.105953031,0.209482433,0.23873442,0.347205707,0.085070349,0.261188463,0.088751545,0.164019009,0.158918919,0.472217587,0.073153409,0.182730924,0.227941176,0.263157895,0.194902549,0.051020408,0.408288043,0.172446406,0.256928839,0.021966527,0.218203034,0.097916667,0.0605613,0.031719533
2011,0.279683377,0.249621556,0.549248748,0.453485714,0.02553916,0.404776485,0.272690924,0.160842754,0.252068395,0.283457249,0.375674106,0.123856707,0.342052075,0.119223206,0.185703186,0.188781014,0.530018294,0.122589532,0.218809981,0.317773788,0.430278884,0.224125625,0.090117911,0.472945892,0.231294629,0.312684366,0.028716999,0.310423826,0.16064257,0.072150072,0.07309079
2012,0.324200913,0.277934412,0.550082102,0.47936146,0.028872709,0.431444241,0.330575256,0.172857143,0.26832618,0.292114695,0.385041551,0.19220195,0.359304426,0.130637255,0.205264429,0.231177094,0.576657912,0.163196776,0.24368231,0.33277027,0.515267176,0.248442907,0.123758915,0.481457385,0.271343284,0.361532899,0.035299182,0.357515801,0.221042471,0.080168776,0.106287903
2013,0.37360179,0.307625399,0.550561798,0.509763851,0.037505648,0.450635978,0.410596026,0.181091251,0.282141071,0.300087489,0.411043443,0.27486684,0.372905487,0.139330237,0.222422942,0.25304878,0.615583576,0.173026316,0.257340242,0.3664,0.529850746,0.263540291,0.145424154,0.491273432,0.307805164,0.372288314,0.047775947,0.37357217,0.259360731,0.087621697,0.1321875
2014,0.402654867,0.395585495,0.555023923,0.548306998,0.04914973,0.49190162,0.50097012,0.192850423,0.302514059,0.324371206,0.436265853,0.371786988,0.391615986,0.158908116,0.234035794,0.277890467,0.619092628,0.18642993,0.289655172,0.375,0.529411765,0.273918742,0.171242374,0.526485788,0.345614035,0.399861878,0.055555556,0.411400567,0.266666667,0.17615894,0.16031941
2015,0.431415929,0.474010424,0.557324841,0.582884097,0.05876883,0.503260225,0.543243243,0.219190969,0.329815303,0.344588745,0.460872304,0.466919873,0.404715762,0.191582003,0.248677787,0.292806484,0.625038592,0.200887199,0.301724138,0.401263823,0.553113553,0.278423773,0.202904564,0.544174136,0.38336714,0.419225634,0.069387755,0.442366803,0.307093426,0.202113606,0.178472861
연도 평균,0.269814524,0.266804045,0.549832349,0.435439056,0.031328915,0.406481205,0.330454425,0.153015041,0.24246068,0.269751741,0.366547184,0.206418319,0.308230898,0.121463222,0.181571627,0.216541321,0.520953075,0.124737466,0.233764037,0.298437444,0.40375383,0.227177711,0.10506354,0.438434154,0.244607609,0.302963892,0.037707509,0.300448407,0.180596823,0.098953457,0.089440953
