복지예산/총 세출예산,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평군,여주군,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시
2008,0.164293060183471 ,0.217712500301062 ,0.139374363115495 ,0.218529460730783 ,0.157363592126884 ,0.181905975551756 ,0.216255896708508 ,0.120746501692678 ,0.226744107425388 ,0.222852714851126 ,0.225508268632961 ,0.213700080605543 ,0.191091351956874 ,0.198103067713807 ,0.270427829332053 ,0.180078042607045 ,0.253445009230107 ,0.172863033769529 ,0.159493179341359 ,0.152872595599428 ,0.107700124393363 ,0.181024441933987 ,0.138180158941405 ,0.211984302182978 ,0.256040165675404 ,0.160514452230802 ,0.177396687150788 ,0.174208914172964 ,0.196508850607048 ,0.149258768744393 ,0.132952465536104 
2009,0.217207929143821 ,0.277397201337478 ,0.187534766846335 ,0.290278184315403 ,0.198365256405636 ,0.252108275716266 ,0.259481738756350 ,0.150393641398433 ,0.271520519796161 ,0.272430467859673 ,0.307882394472742 ,0.248476307885656 ,0.240735306677987 ,0.223280671532147 ,0.334854343970020 ,0.220611574985008 ,0.282359913189022 ,0.189278104187656 ,0.166237521734615 ,0.193190449364197 ,0.125986121830354 ,0.220122047387385 ,0.184684253776283 ,0.200772517705431 ,0.303565308359965 ,0.184882611581218 ,0.226142614551735 ,0.193601813322178 ,0.213006829950278 ,0.198127521000629 ,0.156402484173982 
2010,0.199956945148849 ,0.287200434448671 ,0.232523323095882 ,0.289753301087663 ,0.207965252224565 ,0.265904397115927 ,0.271054168420297 ,0.174652008542515 ,0.273986469171237 ,0.267502415977666 ,0.321571482712901 ,0.274750807680483 ,0.253491999767619 ,0.277434746819801 ,0.341266678239863 ,0.235830521724819 ,0.279370087621865 ,0.226337054891941 ,0.200413979729268 ,0.199401499730327 ,0.118726325354716 ,0.278607280700165 ,0.202430007556014 ,0.202053180887571 ,0.329361339500757 ,0.212827675588579 ,0.248688571893636 ,0.210786586705132 ,0.217913573334691 ,0.214441184820668 ,0.183795998181089 
2011,0.186841954921077 ,0.279995690657880 ,0.200675978907214 ,0.288738617873170 ,0.212366730652573 ,0.268336200374158 ,0.284258739398954 ,0.219072740228188 ,0.310478057016191 ,0.253532524120759 ,0.337910733464885 ,0.276794911823884 ,0.263762299103346 ,0.290243107337435 ,0.344631543614775 ,0.229729295488870 ,0.278021679223263 ,0.225837582368818 ,0.169036526578019 ,0.203833380831351 ,0.119615930333890 ,0.284504562586788 ,0.203105914806501 ,0.219978442021475 ,0.382044292120254 ,0.222222924501470 ,0.243614285690932 ,0.221649363522538 ,0.199307473950952 ,0.177106606587865 ,0.207079719610948 
2012,0.208797501301406 ,0.284221684433689 ,0.178185113609518 ,0.325341266287457 ,0.258933079719917 ,0.271582961222874 ,0.335572766269967 ,0.262817257843916 ,0.316256605745962 ,0.257876910007733 ,0.348226052861068 ,0.287780284926230 ,0.284231154434389 ,0.307239505132190 ,0.349352879706719 ,0.247008141112619 ,0.302034670744922 ,0.250532066139914 ,0.198844038152759 ,0.191137218808370 ,0.118507429324361 ,0.307840340110592 ,0.194401660208499 ,0.282578968412635 ,0.344118578788536 ,0.253113961521414 ,0.259986174234067 ,0.220594923931946 ,0.202199408147485 ,0.185732526446041 ,0.238274626545033 
2013,0.201695975968459 ,0.369528453802710 ,0.248071992460249 ,0.381351330875297 ,0.322945570971185 ,0.300051539146324 ,0.375426112499119 ,0.279669340734093 ,0.378352015384226 ,0.278000537378831 ,0.404357892362463 ,0.328248616981700 ,0.330748985390407 ,0.344306721900712 ,0.315965023296652 ,0.259925157405508 ,0.330436177617467 ,0.270738776891635 ,0.219283014486771 ,0.203651051002506 ,0.114369871208483 ,0.360288762388641 ,0.274034961996603 ,0.321017046354917 ,0.398535566645594 ,0.269931225571985 ,0.301357295199469 ,0.252286129885531 ,0.216195848806030 ,0.242842826988154 ,0.239542802178546 
2014,0.247396283865610 ,0.405390037354579 ,0.218962581077434 ,0.407275525537656 ,0.366416718739152 ,0.318956409628918 ,0.379390085616642 ,0.338099584403590 ,0.416620059097597 ,0.356936174190056 ,0.426600990143526 ,0.371373901540206 ,0.360175358489219 ,0.342201896317588 ,0.391601989465808 ,0.279058550789073 ,0.364043494008632 ,0.285479807459686 ,0.244466398633182 ,0.253038279738941 ,0.148922630172534 ,0.359447274430587 ,0.296351671631577 ,0.322006055093202 ,0.442592558446718 ,0.284254087983363 ,0.343269751761662 ,0.278139770789718 ,0.238229351055541 ,0.280778182994984 ,0.261930070976552 
2015,0.251803384265357 ,0.416078360014940 ,0.205384238864415 ,0.385808133381153 ,0.363963713436688 ,0.309150238216866 ,0.384381556229095 ,0.330914243282971 ,0.418909134085823 ,0.328218518027990 ,0.401316968770765 ,0.358960443079633 ,0.346927991443223 ,0.312007735538712 ,0.404147387131872 ,0.305709715584476 ,0.381610674082047 ,0.297095029556498 ,0.241024218611792 ,0.244285416364428 ,0.155225129361294 ,0.364728952176489 ,0.278620042878495 ,0.323723762217593 ,0.319764316902328 ,0.254587935175858 ,0.342343877872009 ,0.276584034843886 ,0.250820170275173 ,0.309649426242234 ,0.231003979375093 
