회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 경남,4811000, 경남창원시,900, 기타,901, 기타,0,0,1904886000,0,0,1904886000
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,143, 산업단지,14700000000,0,0,14700000000,0,0
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,142, 지역및도시,96554393000,57535573000,0,96554393000,23535573000,0
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,141, 수자원,1049617000,0,0,1049617000,0,0
2014, 경남,4811000, 경남창원시,120, 수송및교통,126, 대중교통ㆍ물류등기타,18624699000,0,0,18624699000,0,0
2014, 경남,4811000, 경남창원시,120, 수송및교통,124, 해운ㆍ항만,40000000000,0,0,40000000000,0,0
2014, 경남,4811000, 경남창원시,120, 수송및교통,121, 도로,8664000000,0,0,8664000000,0,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,0,0,0,0,0,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,14935913000,0,0,14935913000,0,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,111, 산업금융지원,0,0,0,0,0,0
2014, 경남,4811000, 경남창원시,100, 농림해양수산,101, 농업ㆍ농촌,123888000,0,0,123888000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,88, 주택,0,0,0,0,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,85, 노인ㆍ청소년,0,0,0,0,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,81, 기초생활보장,11577036000,428606000,0,5296751000,428606000,0
2014, 경남,4811000, 경남창원시,70, 환경보호,71, 상하수도ㆍ수질,986525000,1897144000,0,986525000,0,0
2014, 경남,4811000, 경남창원시,60, 문화및관광,63, 체육,1.09049E+11,0,0,1.09049E+11,0,0
2014, 경남,4811000, 경남창원시,60, 문화및관광,62, 관광,1000000000,0,0,1000000000,0,0
2014, 경남,4811000, 경남창원시,10, 일반공공행정,16, 일반행정,500000000,0,0,500000000,0,0
2014, 경남,4811000, 경남창원시,10, 일반공공행정,13, 지방행정ㆍ재정지원,0,4981769000,0,0,0,0
2014, 경남,4811000, 경남창원시,900, 기타,901, 기타,0,0,34644199000,0,0,34644199000
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,143, 산업단지,0,0,0,0,0,0
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,142, 지역및도시,5476979000,0,0,5476979000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,88, 주택,12690278000,0,0,12690278000,0,0
2014, 경남,4811000, 경남창원시,70, 환경보호,71, 상하수도ㆍ수질,1.19296E+11,1404134000,0,1.18276E+11,700000000,0
2014, 경남,4811000, 경남창원시,10, 일반공공행정,13, 지방행정ㆍ재정지원,42450000000,0,0,2450000000,0,0
2014, 경남,4811000, 경남창원시,900, 기타,901, 기타,0,0,3.40838E+11,33148794000,0,3.40838E+11
2014, 경남,4811000, 경남창원시,160, 예비비,161, 예비비,19786010000,0,0,19786010000,0,0
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,143, 산업단지,1014146000,0,0,1014146000,0,0
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,142, 지역및도시,75330530000,11604110000,0,75330530000,3864110000,0
2014, 경남,4811000, 경남창원시,140, 국토및지역개발,141, 수자원,11475380000,0,0,11475380000,0,0
2014, 경남,4811000, 경남창원시,120, 수송및교통,126, 대중교통ㆍ물류등기타,72979696000,0,0,72979696000,0,0
2014, 경남,4811000, 경남창원시,120, 수송및교통,124, 해운ㆍ항만,740510000,99000000,0,740510000,0,0
2014, 경남,4811000, 경남창원시,120, 수송및교통,123, 도시철도,977600000,0,0,977600000,0,0
2014, 경남,4811000, 경남창원시,120, 수송및교통,121, 도로,74078439000,646000000,0,74078439000,5000000,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,473480000,1160000000,0,473480000,0,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,115, 에너지및자원개발,3887043000,0,0,3887043000,0,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,35278121000,1563000000,0,34978121000,1463000000,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,113, 무역및투자유치,4840075000,0,0,4840075000,0,0
2014, 경남,4811000, 경남창원시,110, 산업ㆍ중소기업,111, 산업금융지원,0,0,0,0,0,0
2014, 경남,4811000, 경남창원시,100, 농림해양수산,103, 해양수산ㆍ어촌,25087011000,0,0,25083411000,0,0
2014, 경남,4811000, 경남창원시,100, 농림해양수산,102, 임업ㆍ산촌,17844453000,0,0,17018488000,0,0
2014, 경남,4811000, 경남창원시,100, 농림해양수산,101, 농업ㆍ농촌,50705262000,30000000,0,50669262000,30000000,0
2014, 경남,4811000, 경남창원시,90, 보건,93, 식품의약안전,1636930000,0,0,1636930000,0,0
2014, 경남,4811000, 경남창원시,90, 보건,91, 보건의료,29012660000,0,0,29012660000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,89, 사회복지일반,998513000,0,0,998513000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,88, 주택,404000000,0,0,404000000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,87, 보훈,8828470000,0,0,8828470000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,86, 노동,15055863000,0,0,15055863000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,85, 노인ㆍ청소년,1.51572E+11,0,0,1.51572E+11,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,84, 보육ㆍ가족및여성,2.58294E+11,0,0,2.58294E+11,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,82, 취약계층지원,75922449000,0,0,75922449000,0,0
2014, 경남,4811000, 경남창원시,80, 사회복지,81, 기초생활보장,75721765000,6306725000,0,75721765000,0,0
2014, 경남,4811000, 경남창원시,70, 환경보호,76, 환경보호일반,6164907000,0,0,6164907000,0,0
2014, 경남,4811000, 경남창원시,70, 환경보호,74, 자연,8521891000,0,0,8521891000,0,0
2014, 경남,4811000, 경남창원시,70, 환경보호,73, 대기,1436138000,0,0,1436138000,0,0
2014, 경남,4811000, 경남창원시,70, 환경보호,72, 폐기물,71093616000,337880000,0,71093616000,137880000,0
2014, 경남,4811000, 경남창원시,70, 환경보호,71, 상하수도ㆍ수질,34928251000,1699153000,0,34928251000,1359153000,0
2014, 경남,4811000, 경남창원시,60, 문화및관광,65, 문화및관광일반,168189000,0,0,168189000,0,0
2014, 경남,4811000, 경남창원시,60, 문화및관광,64, 문화재,6191908000,0,0,6191908000,0,0
2014, 경남,4811000, 경남창원시,60, 문화및관광,63, 체육,90125773000,0,0,90125773000,0,0
2014, 경남,4811000, 경남창원시,60, 문화및관광,62, 관광,8805011000,0,0,8805011000,0,0
2014, 경남,4811000, 경남창원시,60, 문화및관광,61, 문화예술,33276175000,0,0,33276175000,0,0
2014, 경남,4811000, 경남창원시,50, 교육,53, 평생ㆍ직업교육,8533492000,3842053000,0,8533492000,3842053000,0
2014, 경남,4811000, 경남창원시,50, 교육,51, 유아및초중등교육,35214690000,0,0,35214690000,0,0
2014, 경남,4811000, 경남창원시,20, 공공질서및안전,25, 재난방재ㆍ민방위,28077125000,5643000000,0,28077125000,5643000000,0
2014, 경남,4811000, 경남창원시,10, 일반공공행정,16, 일반행정,73219789000,0,0,73219789000,0,0
2014, 경남,4811000, 경남창원시,10, 일반공공행정,14, 재정ㆍ금융,0,0,0,0,0,0
2014, 경남,4811000, 경남창원시,10, 일반공공행정,13, 지방행정ㆍ재정지원,4392166000,957900000,0,4392166000,957900000,0
2014, 경남,4811000, 경남창원시,10, 일반공공행정,11, 입법및선거관리,12475798000,0,0,12475798000,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,115, 에너지및자원개발,0,0,0,0,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,2735262000,0,0,2735262000,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,113, 무역및투자유치,5019408000,0,0,5019408000,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,112, 산업기술지원,5366950000,180000000,0,5366950000,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,111, 산업금융지원,0,3200000000,0,0,0,0
2014, 경남,4813000, 경남진주시,100, 농림해양수산,102, 임업ㆍ산촌,11165452000,0,0,10728374000,0,0
2014, 경남,4813000, 경남진주시,100, 농림해양수산,101, 농업ㆍ농촌,62808838000,0,0,62808838000,0,0
2014, 경남,4813000, 경남진주시,90, 보건,93, 식품의약안전,209197000,0,0,209197000,0,0
2014, 경남,4813000, 경남진주시,90, 보건,91, 보건의료,11518316000,143400000,0,11518316000,0,0
2014, 경남,4813000, 경남진주시,80, 사회복지,87, 보훈,1789406000,0,0,1789406000,0,0
2014, 경남,4813000, 경남진주시,80, 사회복지,86, 노동,3566570000,0,0,3566570000,0,0
2014, 경남,4813000, 경남진주시,80, 사회복지,85, 노인ㆍ청소년,66702500000,0,0,66702500000,0,0
2014, 경남,4813000, 경남진주시,80, 사회복지,84, 보육ㆍ가족및여성,95650807000,39900000,0,95650807000,39900000,0
2014, 경남,4813000, 경남진주시,80, 사회복지,82, 취약계층지원,38114619000,0,0,38114619000,0,0
2014, 경남,4813000, 경남진주시,80, 사회복지,81, 기초생활보장,42556567000,2764033000,0,42556567000,0,0
2014, 경남,4813000, 경남진주시,70, 환경보호,76, 환경보호일반,799938000,0,0,799938000,0,0
2014, 경남,4813000, 경남진주시,70, 환경보호,74, 자연,0,0,0,0,0,0
2014, 경남,4813000, 경남진주시,70, 환경보호,73, 대기,991889000,0,0,991889000,0,0
2014, 경남,4813000, 경남진주시,70, 환경보호,72, 폐기물,18042832000,588200000,0,18042832000,588200000,0
2014, 경남,4813000, 경남진주시,70, 환경보호,71, 상하수도ㆍ수질,329655000,6787400000,0,329655000,0,0
2014, 경남,4813000, 경남진주시,60, 문화및관광,65, 문화및관광일반,14770829000,0,0,14770829000,0,0
2014, 경남,4813000, 경남진주시,60, 문화및관광,64, 문화재,14148893000,0,0,14148893000,0,0
2014, 경남,4813000, 경남진주시,60, 문화및관광,63, 체육,6691503000,0,0,6691503000,0,0
2014, 경남,4813000, 경남진주시,60, 문화및관광,62, 관광,0,0,0,0,0,0
2014, 경남,4813000, 경남진주시,60, 문화및관광,61, 문화예술,1401140000,0,0,1401140000,0,0
2014, 경남,4813000, 경남진주시,50, 교육,53, 평생ㆍ직업교육,5527200000,0,0,5527200000,0,0
2014, 경남,4813000, 경남진주시,50, 교육,52, 고등교육,129684000,0,0,129684000,0,0
2014, 경남,4813000, 경남진주시,50, 교육,51, 유아및초중등교육,14698227000,0,0,14698227000,0,0
2014, 경남,4813000, 경남진주시,20, 공공질서및안전,25, 재난방재ㆍ민방위,7208493000,0,0,7208493000,0,0
2014, 경남,4813000, 경남진주시,10, 일반공공행정,16, 일반행정,35727929000,5000000000,0,35657929000,3000000000,0
2014, 경남,4813000, 경남진주시,10, 일반공공행정,14, 재정ㆍ금융,0,0,0,0,0,0
2014, 경남,4813000, 경남진주시,10, 일반공공행정,13, 지방행정ㆍ재정지원,1582241000,0,0,1582241000,0,0
2014, 경남,4813000, 경남진주시,10, 일반공공행정,11, 입법및선거관리,1464116000,0,0,1464116000,0,0
2014, 경남,4813000, 경남진주시,900, 기타,901, 기타,0,0,1212827000,0,0,1212827000
2014, 경남,4813000, 경남진주시,140, 국토및지역개발,143, 산업단지,3759605000,0,0,3759605000,0,0
2014, 경남,4813000, 경남진주시,140, 국토및지역개발,142, 지역및도시,49100000,19615402000,0,49100000,12230402000,0
2014, 경남,4813000, 경남진주시,120, 수송및교통,126, 대중교통ㆍ물류등기타,36209282000,0,0,36209282000,0,0
2014, 경남,4813000, 경남진주시,120, 수송및교통,121, 도로,0,0,0,0,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,0,0,0,0,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,1009910000,0,0,1009910000,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,112, 산업기술지원,0,0,0,0,0,0
2014, 경남,4813000, 경남진주시,110, 산업ㆍ중소기업,111, 산업금융지원,2964000000,1000000000,0,2964000000,1000000000,0
2014, 경남,4813000, 경남진주시,100, 농림해양수산,101, 농업ㆍ농촌,20740000000,0,0,20740000000,0,0
2014, 경남,4813000, 경남진주시,80, 사회복지,81, 기초생활보장,5141173000,0,0,2375727000,0,0
2014, 경남,4813000, 경남진주시,70, 환경보호,76, 환경보호일반,0,6333894000,0,0,65000000,0
2014, 경남,4813000, 경남진주시,70, 환경보호,72, 폐기물,14945000000,0,0,14945000000,0,0
2014, 경남,4813000, 경남진주시,70, 환경보호,71, 상하수도ㆍ수질,3661651000,4245000,0,3661651000,0,0
2014, 경남,4813000, 경남진주시,60, 문화및관광,64, 문화재,797000000,43000000,0,797000000,43000000,0
