name,population,population_year,business,business_year,old_building,pass
서울특별시 광진구 자양제3동,-15.71548408,5,-0.544959128,2,79.09887359,2
서울특별시 광진구 자양제4동,-13.01928202,5,-2.024922118,1,88.18831442,2
서울특별시 동대문구 회기동,-19.67517105,3,-5.079681275,1,75.72156197,3
서울특별시 동대문구 휘경제1동,-33.37414069,5,-1.741803279,1,86.03818616,2
서울특별시 동대문구 휘경제2동,0.676031251,4,-2.076677316,0,68.37972877,2
서울특별시 동대문구 청량리동,-5.011209284,5,-8.876080692,1,85.46335554,3
서울특별시 동대문구 용신동,6.827956989,3,5.129165107,0,80.66832367,2
서울특별시 동대문구 제기동,-0.465189007,5,-9.650516283,2,82.63020833,3
서울특별시 동대문구 전농제1동,21.72982759,3,-3.897294819,1,84.42446043,2
서울특별시 동대문구 전농제2동,10.66809767,5,1.78041543,1,78.41726619,2
서울특별시 동대문구 답십리제2동,-8.89663485,4,-5.642973413,2,77.3925104,3
서울특별시 동대문구 장안제1동,3.144967466,2,1.170160897,1,71.48574287,1
서울특별시 동대문구 장안제2동,0.797401063,2,1.587301587,0,78.91036907,1
서울특별시 동대문구 이문제1동,-4.969636882,5,-5.990133897,1,87.43924277,3
서울특별시 동대문구 이문제2동,-6.346895075,3,-17.715959,2,84.4765343,3
서울특별시 동대문구 답십리제1동,32.26646818,2,-7.75427996,1,83.70629371,2
서울특별시 중랑구 면목제2동,-24.51740254,5,-0.863557858,1,80.90197883,2
서울특별시 중랑구 면목제4동,-21.90281899,3,-1.890989989,2,80.25350233,2
서울특별시 중랑구 면목제5동,-49.9374665,5,-2.787068004,1,81.69934641,2
서울특별시 중랑구 면목제7동,-23.95441064,5,-10.65217391,3,84.38003221,3
서울특별시 중랑구 상봉제1동,2.288932102,2,5.959475566,0,64.22018349,1
서울특별시 중랑구 상봉제2동,-25.921522,3,-2.713178295,2,77.7716492,2
서울특별시 중랑구 중화제1동,-40.51038088,3,0.115740741,1,65.87561375,2
서울특별시 중랑구 중화제2동,-7.799795012,5,-2.256770311,3,87.81144781,3
서울특별시 중랑구 묵제1동,-1.743105737,3,3.330411919,0,58.06666667,2
서울특별시 중랑구 묵제2동,-25.30096468,3,2.034174125,1,72.04441541,2
서울특별시 중랑구 망우제3동,-31.03691236,4,-4.34298441,1,76.90595437,2
서울특별시 중랑구 신내1동,30.63681077,2,7.726864331,0,53.18275154,1
서울특별시 중랑구 신내2동,-20.75439082,5,3.10880829,1,72.85714286,2
서울특별시 중랑구 면목본동,-0.632271848,2,1.956217979,1,79.60448642,1
서울특별시 중랑구 면목제3·8동,-3.277703133,5,-2.661381653,1,83.63563079,2
서울특별시 중랑구 망우본동,0.964231161,4,3.924050633,1,76.65068241,2
서울특별시 성북구 돈암제1동,-7.953575696,3,-1.639344262,1,68.43853821,2
서울특별시 성북구 돈암제2동,-2.724393736,1,-5.144694534,3,28.67924528,1
서울특별시 성북구 안암동,-20.22370789,5,3.674121406,0,65.8400496,2
서울특별시 성북구 보문동,-42.27252225,2,-5.026929982,1,78.57142857,3
서울특별시 성북구 정릉제1동,-17.94034592,5,1.628664495,0,73.40425532,2
서울특별시 성북구 정릉제2동,1.717333796,3,-1.098901099,1,72.99578059,2
서울특별시 성북구 정릉제3동,-29.23761067,5,-10.83591331,2,83.90092879,3
서울특별시 성북구 정릉제4동,0.302995872,3,3.647416413,1,61.62420382,2
서울특별시 성북구 길음제1동,8.807804996,1,-8.886810103,0,44.75873544,1
서울특별시 성북구 길음제2동,-43.86867089,4,2.897196262,0,87.78433024,2
서울특별시 성북구 월곡제1동,-1.175354066,5,-4.971002486,3,75.10121457,3
서울특별시 성북구 월곡제2동,-0.982836322,5,-3.770949721,1,77.7911889,2
서울특별시 성북구 장위제1동,-22.99543506,5,-5.806451613,3,87.0260223,3
서울특별시 성북구 장위제2동,-32.0792628,5,-2.348993289,1,91.03877103,2
서울특별시 성북구 장위제3동,-46.21744688,5,-8.55513308,2,92.19038817,3
서울특별시 성북구 성북동,-0.229385488,5,-2.234042553,1,73.85892116,2
서울특별시 성북구 삼선동,6.213113429,4,-5.558583106,1,75.03147293,3
서울특별시 성북구 동선동,9.938600634,1,-1.754385965,1,69.12087912,1
서울특별시 성북구 종암동,3.272690054,5,-3.747963064,2,68.48072562,2
서울특별시 성북구 석관동,-4.004599119,5,-5.538461538,2,82.94513458,3
서울특별시 강북구 번제1동,-20.03962521,4,-3.599755949,2,78.53236098,2
서울특별시 강북구 번제2동,-30.20723156,5,3.644646925,2,85.95317726,2
서울특별시 강북구 번제3동,-21.29079219,5,3.483606557,2,56.79012346,2
서울특별시 강북구 수유제1동,-23.47258858,5,-8.198924731,3,77.76820336,3
서울특별시 강북구 수유제2동,-24.16306887,5,-8.306962025,1,75.03168568,3
서울특별시 강북구 수유제3동,-18.66148595,2,-7.109207709,2,75.78184592,2
서울특별시 강북구 삼양동,-5.529626623,5,-8.014247551,2,78.75322759,3
서울특별시 강북구 미아동,-40.15588298,2,-2.842035691,2,80.33958892,2
서울특별시 강북구 송중동,-10.27567404,5,-0.573394495,1,83.86999699,2
서울특별시 강북구 송천동,-4.129045348,4,-6.359447005,1,87.54863813,3
서울특별시 강북구 삼각산동,4.160774331,3,-27.61664565,1,20.04716981,2
서울특별시 강북구 우이동,-1.13999523,2,-8.940397351,3,72.85579642,2
서울특별시 강북구 인수동,2.307518043,2,-3.761755486,2,76.99115044,1
서울특별시 도봉구 쌍문제1동,-23.18094454,3,-2.366863905,1,74.96909765,2
서울특별시 도봉구 쌍문제2동,-50.32797679,3,5.825242718,1,69.67688484,2
서울특별시 도봉구 쌍문제3동,-14.99269362,5,-3.725961538,1,74.17116423,2
서울특별시 도봉구 쌍문제4동,-19.81579682,5,-1.662707838,2,71.23287671,2
서울특별시 도봉구 방학제1동,-6.591913014,2,-0.643245918,1,73.45537757,1
서울특별시 도봉구 방학제2동,-27.41571497,5,-7.670720299,2,75.29280535,3
서울특별시 도봉구 방학제3동,-5.161894309,5,-2.154398564,1,64.80263158,2
서울특별시 도봉구 창제1동,-19.39994528,3,-3.43980344,2,76.98412698,2
서울특별시 도봉구 창제2동,-0.284938043,4,-0.094339623,1,64.90641711,2
서울특별시 도봉구 창제3동,-21.72745118,5,-6.017925736,2,79.889043,3
서울특별시 도봉구 창제4동,-9.369426752,5,6.358974359,1,45.83333333,1
서울특별시 도봉구 창제5동,-7.08700954,5,3.076923077,1,60.36036036,2
서울특별시 도봉구 도봉제1동,-26.95542333,4,-1.419878296,1,73.09439677,2
서울특별시 도봉구 도봉제2동,-13.65676427,5,5.887939221,0,78.44243792,2
서울특별시 노원구 월계1동,-28.90826359,3,-0.778546713,2,70.31496063,2
서울특별시 노원구 월계2동,-8.633305024,5,1.335559265,1,63.14199396,2
서울특별시 노원구 월계3동,-6.906216716,5,1.119402985,1,61.76470588,2
